source_id,title,organization,url,domain,source_level,category,published_at,retrieved_at,local_file,status
SRC-P0-001,"Wenchang city profile","海南省人民政府","https://en.hainan.gov.cn/englishsite/Cities/202506/a2fca3f0c28541c1bffc4829b5a5b95e.shtml?ddtab=true","hainan.gov.cn",P0,overview,,2026-08-11,"knowledge/00_overview/00_city_profile.md",active
SRC-P0-002,"海南统计年鉴2024","海南省统计局","https://stats.hainan.gov.cn/tjj/tjsu/ndsj/2024/202412/P020250116308974141111.pdf","stats.hainan.gov.cn",P0,geography,,2026-08-11,"knowledge/01_geography/01_location_and_statistical_scope.md",active
SRC-P0-003,"2024年文昌市政府工作报告","文昌市人民政府","https://www.hainan.gov.cn/hainan/xgwjt/202402/e43343bf034d42d99ecdd49454fcdd15.shtml?ddtab=true","hainan.gov.cn",P0,economy_industry,2024-02-06,2026-08-11,"knowledge/08_economy_industry/01_economic_and_industrial_snapshot_2023.md",active
SRC-P0-004,"第八批全国重点文物保护单位名单","国家文物局","https://www.ncha.gov.cn/art/2019/10/18/art_2289_157100.html","ncha.gov.cn",P0,history,2019-10-18,2026-08-11,"knowledge/02_history/02_national_heritage_sites.md",active
SRC-P0-005,"海南省文物+旅游三年行动工程实施方案","海南省人民政府办公厅","https://en.hainan.gov.cn/hainan/szfbgtwj/201711/d51db282e9f34950a4f360be54e2fcba.shtml?ddtab=true","hainan.gov.cn",P0,history,,2026-08-11,"knowledge/02_history/01_heritage_and_traditional_settlements.md",active
SRC-P2-006,"Wenchang shines with hybrid of local and Southeast Asian cultures","人民日报","https://en.hainan.gov.cn/englishsite/Updates/202605/1533abb7d4c84ad6b8d165f09920bfee.shtml?ddtab=true","hainan.gov.cn",P2,culture,2026-05-22,2026-08-11,"knowledge/12_culture/01_overseas_chinese_culture.md",active
SRC-P0-007,"海南文昌：侨乡文化引游人定格南洋时光","国务院侨务办公室","https://www.gqb.gov.cn/news/2026/0403/61906.shtml","gqb.gov.cn",P0,culture,2026-04-03,2026-08-11,,supporting
SRC-P0-008,"名人故居：宋庆龄故居","中国人民政治协商会议全国委员会","https://www.cppcc.gov.cn/zxww/2018/11/05/ARTI1541378440867171.shtml","cppcc.gov.cn",P0,historic_figures,2018-11-05,2026-08-11,"knowledge/15_historic_figures/01_soong_ching_ling.md",active
SRC-P0-009,"文昌发射场系统","中国载人航天工程办公室","https://www.cmse.gov.cn/gygc/xtzc/hnfscxt/","cmse.gov.cn",P0,aerospace,,2026-08-11,"knowledge/04_aerospace/01_wenchang_launch_site_system.md",active
SRC-P0-010,"从湿地奔赴天宫：走进我国最年轻的现代化航天发射场","国家航天局","https://www.cnsa.gov.cn/n6758823/n6758838/c10466900/content.html","cnsa.gov.cn",P0,aerospace,2024-01-22,2026-08-11,"knowledge/04_aerospace/02_modern_coastal_launch_site.md",active
SRC-P0-011,"中国首次火星探测任务探测器成功发射","国家航天局","https://www.cnsa.gov.cn/n6758823/n6758838/c6809878/content.html","cnsa.gov.cn",P0,aerospace,2020-07-23,2026-08-11,"knowledge/04_aerospace/03_tianwen1_launch.md",active
SRC-P0-012,"奔向月球：长五火箭将嫦娥六号探测器发射升空","国家航天局","https://www.cnsa.gov.cn/n6758823/n6758844/n10518102/n10518157/c10526494/content.html","cnsa.gov.cn",P0,aerospace,2024-05-03,2026-08-11,"knowledge/04_aerospace/04_change6_launch.md",active
SRC-P0-013,"长征七号","中国航天科技集团有限公司","https://www.spacechina.com/n25/n146/n238/n12985/c1043803/content.html","spacechina.com",P0,aerospace,2016-06-30,2026-08-11,,supporting
SRC-P0-014,"长征五号遥十四火箭安全运抵文昌航天发射场","中国航天科技集团有限公司","https://www.spacechina.com/n25/n2014789/n2014804/c4649503/content.html","spacechina.com",P0,current_topics,2026-07-13,2026-08-11,"knowledge/19_current_topics/01_change7_mission_preparation.md",active
SRC-P0-015,"坐标海南：我国首个商业航天发射场开建","国家航天局","https://www.cnsa.gov.cn/n6758823/n6758838/c6840653/content.html","cnsa.gov.cn",P0,aerospace,2022-07-06,2026-08-11,"knowledge/04_aerospace/05_hainan_commercial_launch_site.md",active
SRC-P0-016,"文昌国际航天城管理局设立和运行管理规定","文昌国际航天城管理局","https://www.wchtc.net/xinwen/2020/show-43.html","wchtc.net",P0,aerospace,2020-09-22,2026-08-11,,supporting
SRC-P0-017,"文昌国际航天城产业服务中心新展厅项目资料","文昌国际航天城管理局","https://www.wchtc.net/uploadfile/file/20231205/777ef70a00347e4eaca85cfe5d5d29b7.pdf","wchtc.net",P0,economy_industry,,2026-08-11,,supporting
SRC-P0-018,"海南省自然保护区名录（截止2012年底）","中华人民共和国生态环境部","https://www.mee.gov.cn/ywgz/zrstbh/zrbhdjg/201309/t20130926_260911.shtml","mee.gov.cn",P0,ecology,2013-09-26,2026-08-11,"knowledge/05_ecology/01_wenchang_protected_areas.md",active
